player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Devin Lloyd,58238,LB,JAX,15,24,0,84.3,0,0,15,1,0,80.2,88.6,60.9,82.2,83.2,57.4,9,15,1,5,32,15.2,12,2,1,68.7,43,1,0,565,2,359,706,71,0,0,71,0,2,635,98,249,66,24,43,5,51,25,1,429,263,10.0
Joe Tryon-Shoyinka,58272,ED,CHI,14,4,0,,0,0,6,0,0,63.1,72.2,84.9,67.6,66.2,78.7,2,6,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,142,142,0,1,139,2,0,0,72,68,0,8,10,0,0,8,0,0,0,
Daniel Scott,60640,S,IND,2,0,0,100.0,0,0,14,0,0,63.1,64.2,72.4,,,71.6,0,0,0,0,3,0.0,0,0,0,79.2,1,0,0,0,0,13,13,0,0,0,0,0,12,13,0,0,1,1,1,0,1,0,0,3,0,3.0
Michael Carter II,60644,CB,PHI,13,10,0,66.7,0,0,24,0,0,48.8,57.9,82.1,63.3,77.1,59.3,0,2,0,0,31,8.0,2,0,1,94.4,12,0,0,47,2,141,251,20,0,0,20,0,17,231,9,101,165,8,13,1,18,2,0,159,122,13.3
James Pierre,60649,CB,PIT,10,6,0,42.4,0,0,25,1,1,88.1,85.4,85.1,,59.1,34.4,0,0,0,1,25,20.6,7,9,0,52.8,14,0,0,10,357,235,377,3,0,0,3,0,1,374,0,142,5,8,21,1,33,0,1,142,73,10.1
Grant Delpit,60685,S,CLV,17,27,0,68.9,0,1,8,1,0,60.0,66.3,68.4,75.4,71.8,64.9,5,6,0,1,44,11.1,10,3,1,98.9,42,3,0,391,29,539,1014,96,0,0,96,0,227,918,50,425,271,31,53,2,61,14,2,517,296,12.3
Malcolm Rodriguez,60731,LB,DET,6,0,0,81.8,0,0,11,0,0,27.7,28.4,76.0,54.0,57.3,29.3,0,0,0,0,27,28.6,4,0,0,129.2,9,0,0,67,2,37,72,1,0,0,1,0,0,71,3,32,2,5,10,1,11,0,1,85,46,9.4
Darren Hall,60742,S,ARZ,9,3,0,83.3,0,0,1,0,0,46.1,51.1,77.1,56.4,69.2,52.5,0,0,0,0,39,16.7,3,0,0,158.3,5,0,0,68,0,73,150,1,0,0,1,0,36,149,2,75,45,3,12,0,6,0,1,79,36,15.8
Garret Wallow,60761,LB,SF,3,0,0,66.7,0,0,28,0,0,36.0,29.9,73.1,55.3,39.8,76.0,0,0,0,0,24,0.0,0,0,0,97.9,2,0,0,37,0,19,45,5,0,0,5,0,0,40,2,24,3,1,2,0,3,0,0,29,18,14.5
Isaiah Pola-Mao,60781,S,LV,17,13,0,67.5,0,0,23,0,0,30.1,39.6,45.8,63.5,66.5,39.7,0,5,0,2,43,19.6,21,2,3,115.1,27,0,0,250,1,597,1081,15,0,0,15,0,713,1066,12,472,102,12,73,4,40,5,5,365,114,13.5
