player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Ty'Ron Hopper,98781,LB,GB,8,0,8.0,100.0,83.6,21.5,21.5,0,0,0,0.0,12,69.5,57.2,80.5,54.9,48.9,51.7,0,18,50.0,1,0,0,118.8,2,46,55,0,1,2,0,27,11,0.6,13.5
Jay Ward,98833,S,MIN,13,2,11.0,100.0,94.1,45.0,45.0,0,0,0,0.0,18,68.6,70.4,84.3,44.8,71.3,52.6,0,28,25.0,2,0,0,118.8,2,96,102,1,4,2,0,39,17,0.4,19.5
Cor'Dale Flott,98834,CB,NYG,14,2,14.2,53.0,99.8,13.2,7.0,0,1,8,12.1,21,68.1,65.6,87.0,58.5,48.4,44.6,1,36,8.3,3,8,2,72.8,35,500,501,6,31,66,1,440,115,1.0,12.6
Jaylen McCollough,98845,S,LA,17,2,5.9,71.4,90.8,11.0,7.9,0,2,4,9.5,26,72.4,69.1,83.6,51.7,59.2,44.4,0,27,14.7,5,3,0,82.2,30,347,382,15,27,42,0,208,134,0.6,6.9
Demani Richardson,98852,S,CAR,3,0,,,100.0,,,0,0,0,,5,61.7,71.5,73.2,,73.4,81.7,0,,,0,0,0,0.0,0,10,10,0,0,0,0,0,0,0.0,
Jordan Battle,98857,S,CIN,17,6,10.7,63.2,96.6,23.7,15.0,0,0,2,5.3,7,54.5,61.5,82.5,59.4,72.3,59.1,4,58,21.6,11,2,0,85.5,24,600,621,8,34,38,3,402,245,0.7,16.8
DeMarcco Hellams,98863,S,ATL,3,0,-5.0,100.0,87.5,6.0,6.0,0,0,0,0.0,2,27.8,28.9,68.9,60.0,64.2,26.5,0,7,100.0,1,0,0,95.8,1,7,8,0,0,1,0,7,12,1.2,7.0
Nehemiah Pritchett,98875,CB,SEA,5,0,12.6,71.4,100.0,10.0,7.1,0,0,2,28.6,29,58.7,56.2,77.7,,48.1,44.8,0,20,0.0,0,2,0,138.7,5,53,53,0,1,7,3,63,9,1.3,12.6
Jaylin Simpson,98876,S,GB,1,0,14.1,57.1,100.0,8.3,4.7,1,0,0,0.0,12,30.0,30.3,77.0,,45.6,59.7,0,17,12.5,1,0,2,80.7,4,35,35,1,7,7,0,52,10,1.6,13.0
Brandin Echols,98900,CB,PIT,16,0,6.8,70.3,96.8,7.8,5.5,0,0,4,6.3,25,73.3,72.1,85.4,60.2,58.4,53.2,2,58,16.3,7,3,2,87.1,45,365,377,16,36,64,2,446,227,1.3,9.9
DeMarvin Leal,98919,ED,PIT,3,0,,,16.7,,,0,0,0,,25,60.6,57.8,74.5,52.7,61.2,74.7,0,,,0,0,0,0.0,0,2,12,0,0,0,0,0,0,0.0,
Justin Eboigbe,98925,DI,LAC,17,0,,,2.1,,,0,0,0,,27,60.6,58.6,86.4,57.1,57.3,67.0,0,,0.0,0,0,0,0.0,0,5,238,7,1,0,0,0,0,0.0,
Eric Gregory,98930,DI,NE,6,0,,,3.8,,,0,0,0,,19,58.2,68.6,81.8,61.5,68.6,52.8,0,,100.0,1,0,0,0.0,0,2,53,0,0,0,0,0,0,0.0,
Travon Walker,98940,ED,JAX,14,2,2.7,100.0,7.3,9.0,9.0,0,0,0,0.0,15,51.1,67.7,76.7,68.2,64.2,68.7,0,14,12.5,1,0,1,118.8,3,27,372,4,5,3,0,39,31,1.4,13.0
Zion Logue,98944,DI,BUF,3,0,4.0,0.0,2.6,,1.0,0,0,0,0.0,4,62.5,53.6,78.5,58.4,46.2,69.6,0,,,0,0,0,39.6,0,1,38,1,0,1,0,0,0,0.0,
Isaiah McGuire,98948,ED,CLV,17,1,5.0,100.0,5.5,14.0,14.0,0,0,0,0.0,8,59.3,73.7,89.8,63.1,75.5,70.0,0,12,16.7,1,0,0,116.7,1,14,253,4,4,1,0,12,7,0.9,12.0
Henry To'oTo'o,98982,LB,HST,17,11,3.9,73.1,93.1,9.0,6.6,0,0,2,3.0,13,54.6,62.4,59.6,81.8,66.9,32.2,0,60,15.1,8,2,3,109.2,49,475,510,15,34,67,3,503,388,1.1,10.3
Christian Harris,98996,LB,HST,7,0,4.4,80.0,95.7,10.5,8.4,0,0,0,0.0,13,53.8,54.8,0.0,56.6,64.8,60.8,0,9,50.0,1,0,1,85.0,4,45,47,1,1,5,0,22,20,0.5,5.5
